ID,PHOTO,NAME,TEAM,FC_BC,#,COLLEGE,WEIGHT,HEIGHT,AGE,DOB,EXP,POS
203999,https://cdn.nba.com/headshots/nba/latest/520x380/203999.png,Nikola Jokić,DEN,FC,15,None,284,"6'11""",31,2/19/1995,10,C
1641705,https://cdn.nba.com/headshots/nba/latest/520x380/1641705.png,Victor Wembanyama,SAS,FC,1,None,240,"7'4""",21,04/01/2004,2,PF
1628983,https://cdn.nba.com/headshots/nba/latest/520x380/1628983.png,Shai Gilgeous-Alexander,OKC,BC,2,Kentucky,200,"6'6""",27,12/07/1998,7,PG
203507,https://cdn.nba.com/headshots/nba/latest/520x380/203507.png,Giannis Antetokounmpo,MIL,FC,34,None,246,"6'11""",31,06/12/1994,12,PF
1629029,https://cdn.nba.com/headshots/nba/latest/520x380/1629029.png,Luka Dončić,LAL,BC,77,None,244,"6'7""",27,2/28/1999,7,PG
1627734,https://cdn.nba.com/headshots/nba/latest/520x380/1627734.png,Domantas Sabonis,SAC,FC,11,Gonzaga,240,"6'11""",30,03/05/1996,9,C
1630595,https://cdn.nba.com/headshots/nba/latest/260x190/1630595.png,Cade Cunningham,DET,BC,2,Oklahoma State,217,"6'6""",24,9/25/2001,4,PG
1629027,https://cdn.nba.com/headshots/nba/latest/520x380/1629027.png,Trae Young,WAS,BC,11,Oklahoma,180,"6'1""",27,9/19/1998,7,PG
203954,https://cdn.nba.com/headshots/nba/latest/520x380/203954.png,Joel Embiid,PHI,FC,21,Kansas,270,"7'0""",31,3/16/1994,9,C
1626157,https://cdn.nba.com/headshots/nba/latest/520x380/1626157.png,Karl-Anthony Towns,NYK,FC,32,Kentucky,248,"7'0""",30,11/15/1995,10,PF
1630162,https://cdn.nba.com/headshots/nba/latest/260x190/1630162.png,Anthony Edwards,MIN,BC,5,Georgia,225,"6'4""",24,05/08/2001,5,SG
2544,https://cdn.nba.com/headshots/nba/latest/520x380/2544.png,LeBron James,LAL,FC,23,None,250,"6'9""",41,12/30/1984,22,SF
201935,https://cdn.nba.com/headshots/nba/latest/520x380/201935.png,James Harden,CLE,BC,1,Arizona State,220,"6'5""",36,8/26/1989,16,SG
203076,https://cdn.nba.com/headshots/nba/latest/260x190/203076.png,Anthony Davis,WAS,FC,3,Kentucky,268,"6'10""",32,11/03/1993,13,C
1627826,https://cdn.nba.com/headshots/nba/latest/520x380/1627826.png,Ivica Zubac,IND,FC,40,None,240,"7'0""",28,3/18/1997,9,C
1630578,https://cdn.nba.com/headshots/nba/latest/260x190/1630578.png,Alperen Sengun,HOU,FC,28,None,255,"6'11""",23,7/25/2002,4,C
1628369,https://cdn.nba.com/headshots/nba/latest/520x380/1628369.png,Jayson Tatum,BOS,FC,0,Duke,224,"6'8""",27,03/03/1998,8,SF
1626164,https://cdn.nba.com/headshots/nba/latest/520x380/1626164.png,Devin Booker,PHX,BC,1,Kentucky,206,"6'5""",29,10/30/1996,10,SG
201142,https://cdn.nba.com/headshots/nba/latest/520x380/201142.png,Kevin Durant,HOU,FC,7,Texas,240,"6'10""",37,9/29/1988,18,PF
1630567,https://cdn.nba.com/headshots/nba/latest/520x380/1630567.png,Scottie Barnes,TOR,FC,4,Florida State,237,"6'8""",25,01/08/2001,4,SF
1631094,https://cdn.nba.com/headshots/nba/latest/520x380/1631094.png,Paolo Banchero,ORL,FC,5,Duke,250,"6'10""",23,12/11/2002,3,PF
1631114,https://cdn.nba.com/headshots/nba/latest/520x380/1631114.png,Jalen Williams,OKC,BC,8,Santa Clara,220,"6'6""",24,4/14/2001,3,SF
1628973,https://cdn.nba.com/headshots/nba/latest/520x380/1628973.png,Jalen Brunson,NYK,BC,11,Villanova,190,"6'2""",29,8/31/1996,7,PG
1628389,https://cdn.nba.com/headshots/nba/latest/260x190/1628389.png,Bam Adebayo,MIA,FC,13,Kentucky,255,"6'9""",28,7/18/1997,8,C
201939,https://cdn.nba.com/headshots/nba/latest/520x380/201939.png,Stephen Curry,GSW,BC,30,Davidson,185,"6'2""",37,3/14/1988,16,PG
1628378,https://cdn.nba.com/headshots/nba/latest/520x380/1628378.png,Donovan Mitchell,CLE,BC,45,Louisville,215,"6'3""",29,07/09/1996,8,SG
1630163,https://cdn.nba.com/headshots/nba/latest/520x380/1630163.png,LaMelo Ball,CHA,BC,1,None,180,"6'7""",24,8/22/2001,5,PG
1628368,https://cdn.nba.com/headshots/nba/latest/520x380/1628368.png,De'Aaron Fox,SAS,BC,4,Kentucky,190,"6'3""",28,12/20/1997,8,PG
1630178,https://cdn.nba.com/headshots/nba/latest/520x380/1630178.png,Tyrese Maxey,PHI,BC,0,Kentucky,200,"6'2""",25,04/11/2000,5,PG
1629627,https://cdn.nba.com/headshots/nba/latest/520x380/1629627.png,Zion Williamson,NOP,FC,1,Duke,284,"6'6""",25,06/07/2000,6,PF
1629630,https://cdn.nba.com/headshots/nba/latest/520x380/1629630.png,Ja Morant,MEM,BC,12,Murray State,174,"6'2""",26,10/08/1999,6,PG
202695,https://cdn.nba.com/headshots/nba/latest/520x380/202695.png,Kawhi Leonard,LAC,FC,2,San Diego State,225,"6'7""",34,6/29/1991,14,SF
1630532,https://cdn.nba.com/headshots/nba/latest/520x380/1630532.png,Franz Wagner,ORL,FC,22,Michigan,230,"6'10""",24,8/27/2001,4,SF
1630217,https://cdn.nba.com/headshots/nba/latest/260x190/1630217.png,Desmond Bane,ORL,BC,3,TCU,215,"6'6""",27,6/25/1998,5,SG
1629639,https://cdn.nba.com/headshots/nba/latest/520x380/1629639.png,Tyler Herro,MIA,BC,14,Kentucky,195,"6'5""",26,1/20/2000,6,SG
1628991,https://cdn.nba.com/headshots/nba/latest/520x380/1628991.png,Jaren Jackson Jr.,UTA,FC,8,Michigan State,242,"6'10""",26,9/15/1999,7,PF
1627783,https://cdn.nba.com/headshots/nba/latest/520x380/1627783.png,Pascal Siakam,IND,FC,43,New Mexico State,245,"6'8""",32,02/04/1994,9,PF
1627750,https://cdn.nba.com/headshots/nba/latest/520x380/1627750.png,Jamal Murray,DEN,BC,27,Kentucky,215,"6'4""",29,2/23/1997,9,PG
1630596,https://cdn.nba.com/headshots/nba/latest/520x380/1630596.png,Evan Mobley,CLE,FC,4,Southern California,215,"7'0""",24,6/18/2001,4,PF
202696,https://cdn.nba.com/headshots/nba/latest/520x380/202696.png,Nikola Vučević,BOS,FC,9,Southern California,260,"6'10""",35,10/24/1990,14,C
201942,https://cdn.nba.com/headshots/nba/latest/260x190/201942.png,DeMar DeRozan,SAC,BC,10,Southern California,220,"6'6""",36,07/08/1989,16,SF
1631096,https://cdn.nba.com/headshots/nba/latest/260x190/1631096.png,Chet Holmgren,OKC,FC,7,Gonzaga,213,"7'1""",24,01/05/2002,2,C
1628404,https://cdn.nba.com/headshots/nba/latest/520x380/1628404.png,Josh Hart,NYK,BC,3,Villanova,215,"6'4""",30,06/03/1995,8,SF
1627749,https://cdn.nba.com/headshots/nba/latest/520x380/1627749.png,Dejounte Murray,NOP,BC,5,Washington,181,"6'5""",29,9/19/1996,9,SG
1641708,https://cdn.nba.com/headshots/nba/latest/260x190/1641708.png,Amen Thompson,HOU,BC,1,None,215,"6'7""",23,1/30/2003,2,SG
202710,https://cdn.nba.com/headshots/nba/latest/520x380/202710.png,Jimmy Butler III,GSW,FC,10,Marquette,230,"6'7""",36,9/14/1989,14,SF
202681,https://cdn.nba.com/headshots/nba/latest/520x380/202681.png,Kyrie Irving,DAL,BC,11,Duke,191,"6'2""",33,23/03/1992,14,PG
1630581,https://cdn.nba.com/headshots/nba/latest/520x380/1630581.png,Josh Giddey,CHI,BC,3,None,216,"6'8""",23,10/10/2002,4,SG
1628970,https://cdn.nba.com/headshots/nba/latest/520x380/1628970.png,Miles Bridges,CHA,FC,0,Michigan State,225,"6'7""",27,3/21/1998,6,SF
1627759,https://cdn.nba.com/headshots/nba/latest/520x380/1627759.png,Jaylen Brown,BOS,BC,7,California,237,"6'6""",29,10/24/1996,9,SG
1630552,https://cdn.nba.com/headshots/nba/latest/520x380/1630552.png,Jalen Johnson,ATL,FC,1,Duke,220,"6'9""",24,12/18/2001,4,PF
1630700,https://cdn.nba.com/headshots/nba/latest/520x380/1630700.png,Dyson Daniels,ATL,BC,5,None,203,"6'7""",22,3/17/2003,3,PG
1628374,https://cdn.nba.com/headshots/nba/latest/520x380/1628374.png,Lauri Markkanen,UTA,FC,23,Arizona,244,"7'0""",28,5/22/1997,8,PF
1628384,https://cdn.nba.com/headshots/nba/latest/520x380/1628384.png,OG Anunoby,NYK,FC,8,Indiana,240,"6'7""",28,7/17/1997,8,SF
203497,https://cdn.nba.com/headshots/nba/latest/520x380/203497.png,Rudy Gobert,MIN,FC,27,None,255,"7'1""",33,6/26/1992,12,C
203944,https://cdn.nba.com/headshots/nba/latest/520x380/203944.png,Julius Randle,MIN,FC,30,Kentucky,255,"6'9""",31,11/29/1994,11,PF
1630559,https://cdn.nba.com/headshots/nba/latest/260x190/1630559.png,Austin Reaves,LAL,BC,15,Oklahoma,210,"6'5""",27,5/29/1998,4,SG
1628386,https://cdn.nba.com/headshots/nba/latest/520x380/1628386.png,Jarrett Allen,CLE,FC,31,Texas,248,"6'11""",27,4/21/1998,8,C
1629636,https://cdn.nba.com/headshots/nba/latest/520x380/1629636.png,Darius Garland,LAC,BC,10,Vanderbilt,186,"6'1""",26,1/26/2000,6,PG
1629628,https://cdn.nba.com/headshots/nba/latest/520x380/1629628.png,RJ Barrett,TOR,FC,9,Duke,222,"6'7""",25,6/14/2000,6,SG
203897,https://cdn.nba.com/headshots/nba/latest/520x380/203897.png,Zach LaVine,SAC,BC,8,UCLA,200,"6'5""",30,10/03/1995,11,SG
203081,https://cdn.nba.com/headshots/nba/latest/520x380/203081.png,Damian Lillard,POR,BC,0,Weber State,200,"6'2""",35,15/07/1990,13,PG
1630224,https://cdn.nba.com/headshots/nba/latest/520x380/1630224.png,Jalen Green,PHX,BC,4,None,186,"6'4""",23,09/02/2002,4,SG
1628969,https://cdn.nba.com/headshots/nba/latest/520x380/1628969.png,Mikal Bridges,NYK,FC,25,Villanova,209,"6'6""",29,8/30/1996,7,SF
1626167,https://cdn.nba.com/headshots/nba/latest/520x380/1626167.png,Myles Turner,MIL,FC,3,Texas,250,"6'11""",29,3/24/1996,10,C
1631105,https://cdn.nba.com/headshots/nba/latest/520x380/1631105.png,Jalen Duren,DET,FC,0,Memphis,250,"6'11""",22,11/18/2003,3,C
1642843,https://cdn.nba.com/headshots/nba/latest/260x190/1642843.png,Cooper Flagg,DAL,FC,32,Duke,205,"6'9""",19,12/21/2006,0,PF
1630182,https://cdn.nba.com/headshots/nba/latest/520x380/1630182.png,Josh Green,CHA,BC,10,Arizona,200,"6'5""",25,11/16/2000,5,SF
1629008,https://cdn.nba.com/headshots/nba/latest/520x380/1629008.png,Michael Porter Jr.,BKN,FC,17,Missouri,225,"6'10""",27,6/29/1998,6,SF
1628401,https://cdn.nba.com/headshots/nba/latest/260x190/1628401.png,Derrick White,BOS,BC,9,Colorado,200,"6'4""",32,02/07/1994,8,SG
203468,https://cdn.nba.com/headshots/nba/latest/260x190/203468.png,CJ McCollum,ATL,BC,3,Lehigh,204,"6'4""",34,9/19/1991,12,PG
1631117,https://cdn.nba.com/headshots/nba/latest/520x380/1631117.png,Walker Kessler,UTA,FC,24,Auburn,271,"7'1""",24,7/26/2001,3,C
1627742,https://cdn.nba.com/headshots/nba/latest/260x190/1627742.png,Brandon Ingram,TOR,FC,3,Duke,205,"6'8""",29,02/09/1997,9,SF
1627751,https://cdn.nba.com/headshots/nba/latest/520x380/1627751.png,Jakob Poeltl,TOR,FC,19,Utah,253,"7'0""",30,10/15/1995,9,C
1630170,https://cdn.nba.com/headshots/nba/latest/520x380/1630170.png,Devin Vassell,SAS,BC,24,Florida State,205,"6'5""",25,8/23/2000,5,SG
1630166,https://cdn.nba.com/headshots/nba/latest/260x190/1630166.png,Deni Avdija,POR,FC,8,None,228,"6'9""",25,03/01/2001,5,SF
1631101,https://cdn.nba.com/headshots/nba/latest/520x380/1631101.png,Shaedon Sharpe,POR,BC,17,Kentucky,210,"6'6""",22,5/30/2003,3,SG
202331,https://cdn.nba.com/headshots/nba/latest/520x380/202331.png,Paul George,PHI,FC,8,Fresno State,230,"6'8""",36,02/05/1990,15,SF
1630530,https://cdn.nba.com/headshots/nba/latest/520x380/1630530.png,Trey Murphy III,NOP,FC,25,Virginia,217,"6'8""",25,6/18/2000,4,SF
202699,https://cdn.nba.com/headshots/nba/latest/520x380/202699.png,Tobias Harris,DET,FC,12,Tennessee,226,"6'8""",33,7/15/1992,14,SF
1629632,https://cdn.nba.com/headshots/nba/latest/520x380/1629632.png,Coby White,CHA,BC,0,North Carolina,195,"6'5""",26,2/16/2000,6,SG
1641706,https://cdn.nba.com/headshots/nba/latest/260x190/1641706.png,Brandon Miller,CHA,FC,24,Alabama,200,"6'7""",23,11/22/2002,2,SF
1629651,https://cdn.nba.com/headshots/nba/latest/520x380/1629651.png,Nic Claxton,BKN,FC,33,Georgia,228,"6'11""",26,4/17/1999,6,C
1629014,https://cdn.nba.com/headshots/nba/latest/260x190/1629014.png,Anfernee Simons,CHI,BC,4,None,200,"6'4""",26,08/06/1999,7,SG
1630168,https://cdn.nba.com/headshots/nba/latest/520x380/1630168.png,Onyeka Okongwu,ATL,FC,17,Southern California,245,"6'9""",25,11/12/2000,5,C
1631109,https://cdn.nba.com/headshots/nba/latest/520x380/1631109.png,Mark Williams,PHX,FC,15,Duke,241,"7'0""",24,12/16/2001,3,C
1628392,https://cdn.nba.com/headshots/nba/latest/520x380/1628392.png,Isaiah Hartenstein,OKC,FC,55,None,267,"7'0""",27,05/05/1998,7,C
1629673,https://cdn.nba.com/headshots/nba/latest/520x380/1629673.png,Jordan Poole,NOP,BC,3,Michigan,200,"6'4""",26,6/19/1999,6,PG
1631128,https://cdn.nba.com/headshots/nba/latest/260x190/1631128.png,Christian Braun,DEN,BC,0,Kansas,220,"6'6""",24,4/17/2001,3,SG
1630560,https://cdn.nba.com/headshots/nba/latest/260x190/1630560.png,Cam Thomas,MIL,BC,24,Louisiana State,214,"6'3""",24,10/13/2001,4,SG
204001,https://cdn.nba.com/headshots/nba/latest/520x380/204001.png,Kristaps Porziņģis,GSW,FC,8,None,240,"7'3""",31,02/08/1995,10,C
1631099,https://cdn.nba.com/headshots/nba/latest/520x380/1631099.png,Keegan Murray,SAC,FC,13,Iowa,215,"6'8""",25,8/19/2000,3,PF
1628370,https://cdn.nba.com/headshots/nba/latest/520x380/1628370.png,Malik Monk,SAC,BC,0,Kentucky,200,"6'3""",27,04/02/1998,8,SG
1629028,https://cdn.nba.com/headshots/nba/latest/260x190/1629028.png,Deandre Ayton,LAL,FC,5,Arizona,260,"7'0""",27,7/23/1998,7,C
203110,https://cdn.nba.com/headshots/nba/latest/520x380/203110.png,Draymond Green,GSW,FC,23,Michigan State,230,"6'6""",35,04/03/1990,13,PF
1630202,https://cdn.nba.com/headshots/nba/latest/520x380/1630202.png,Payton Pritchard,BOS,BC,11,Oregon,211,"6'2""",28,1/28/1998,5,PG
1642259,https://cdn.nba.com/headshots/nba/latest/260x190/1642259.png,Alex Sarr,WAS,FC,20,None,236,"7'1""",20,4/26/2005,1,PF
203994,https://cdn.nba.com/headshots/nba/latest/520x380/203994.png,Jusuf Nurkić,UTA,FC,30,None,290,"7'0""",31,8/23/1994,11,C
1641718,https://cdn.nba.com/headshots/nba/latest/520x380/1641718.png,Keyonte George,UTA,BC,3,Baylor,185,"6'4""",22,08/11/2003,2,SG
1630193,https://cdn.nba.com/headshots/nba/latest/520x380/1630193.png,Immanuel Quickley,TOR,BC,5,Kentucky,197,"6'3""",26,6/17/1999,5,PG
1630591,https://cdn.nba.com/headshots/nba/latest/520x380/1630591.png,Jalen Suggs,ORL,BC,4,Gonzaga,212,"6'5""",24,03/06/2001,4,SG
1629675,https://cdn.nba.com/headshots/nba/latest/520x380/1629675.png,Naz Reid,MIN,FC,11,Louisiana State,241,"6'9""",26,8/26/1999,6,C
1630183,https://cdn.nba.com/headshots/nba/latest/520x380/1630183.png,Jaden McDaniels,MIN,FC,3,Washington,205,"6'9""",25,9/29/2000,5,PF
1626181,https://cdn.nba.com/headshots/nba/latest/520x380/1626181.png,Norman Powell,MIA,BC,24,UCLA,215,"6'4""",32,5/25/1993,10,SG
1628381,https://cdn.nba.com/headshots/nba/latest/520x380/1628381.png,John Collins,LAC,FC,20,Wake Forest,226,"6'9""",28,9/23/1997,8,PF
203932,https://cdn.nba.com/headshots/nba/latest/260x190/203932.png,Aaron Gordon,DEN,FC,32,Arizona,235,"6'8""",30,9/16/1995,11,PF
1629023,https://cdn.nba.com/headshots/nba/latest/520x380/1629023.png,P.J. Washington,DAL,FC,25,Kentucky,230,"6'7""",27,8/23/1998,6,PF
1642264,https://cdn.nba.com/headshots/nba/latest/520x380/1642264.png,Stephon Castle,SAS,BC,5,Connecticut,220,"6'6""",22,01/11/2004,1,SG
203471,https://cdn.nba.com/headshots/nba/latest/260x190/203471.png,Dennis Schröder,CLE,BC,17,None,175,"6'1""",32,9/15/1993,12,PG
1641739,https://cdn.nba.com/headshots/nba/latest/520x380/1641739.png,Toumani Camara,POR,FC,33,Dayton,230,"6'8""",25,08/05/2000,2,SF
203924,https://cdn.nba.com/headshots/nba/latest/520x380/203924.png,Jerami Grant,POR,FC,9,Syracuse,213,"6'8""",31,12/03/1994,11,PF
1630703,https://cdn.nba.com/headshots/nba/latest/520x380/1630703.png,Scoot Henderson,POR,BC,0,None,207,"6'4""",22,03/02/2004,2,PG
1628398,https://cdn.nba.com/headshots/nba/latest/520x380/1628398.png,Kyle Kuzma,MIL,FC,18,Utah,232,"6'8""",30,7/24/1995,8,PF
203952,https://cdn.nba.com/headshots/nba/latest/260x190/203952.png,Andrew Wiggins,MIA,FC,22,Kansas,197,"6'7""",31,2/23/1995,11,SF
203078,https://cdn.nba.com/headshots/nba/latest/260x190/203078.png,Bradley Beal,LAC,BC,0,Florida,207,"6'4""",32,6/28/1993,13,SG
101108,https://cdn.nba.com/headshots/nba/latest/260x190/101108.png,Chris Paul,LAC,BC,3,Wake Forest,175,"6'0""",40,06/05/1985,20,PG
1631097,https://cdn.nba.com/headshots/nba/latest/260x190/1631097.png,Bennedict Mathurin,LAC,BC,0,Arizona,210,"6'5""",23,6/19/2002,3,SG
203991,https://cdn.nba.com/headshots/nba/latest/260x190/203991.png,Clint Capela,HOU,FC,30,None,240,"6'10""",31,5/18/1994,11,C
1631095,https://cdn.nba.com/headshots/nba/latest/520x380/1631095.png,Jabari Smith Jr.,HOU,FC,10,Auburn,213,"6'11""",22,5/13/2003,3,PF
1631106,https://cdn.nba.com/headshots/nba/latest/520x380/1631106.png,Tari Eason,HOU,FC,17,Louisiana State,217,"6'8""",24,10/05/2001,3,SF
1631093,https://cdn.nba.com/headshots/nba/latest/520x380/1631093.png,Jaden Ivey,CHI,BC,23,Purdue,195,"6'4""",24,2/13/2002,3,SG
1641709,https://cdn.nba.com/headshots/nba/latest/260x190/1641709.png,Ausar Thompson,DET,BC,9,None,215,"6'7""",23,1/30/2003,2,SG
1629655,https://cdn.nba.com/headshots/nba/latest/520x380/1629655.png,Daniel Gafford,DAL,FC,21,Arkansas,234,"6'10""",28,01/10/1998,6,C
1626156,https://cdn.nba.com/headshots/nba/latest/260x190/1626156.png,D'Angelo Russell,WAS,BC,5,Ohio State,193,"6'3""",30,2/23/1996,10,PG
1629012,https://cdn.nba.com/headshots/nba/latest/260x190/1629012.png,Collin Sexton,CHI,BC,8,Alabama,190,"6'3""",26,04/01/1999,7,PG
203114,https://cdn.nba.com/headshots/nba/latest/520x380/203114.png,Khris Middleton,DAL,FC,22,Texas A&M,236,"6'8""",34,12/08/1991,13,SF
203903,https://cdn.nba.com/headshots/nba/latest/520x380/203903.png,Jordan Clarkson,NYK,BC,0,Missouri,194,"6'3""",33,07/06/1992,11,SG
1642274,https://cdn.nba.com/headshots/nba/latest/520x380/1642274.png,Yves Missi,NOP,FC,21,Baylor,236,"6'11""",21,5/14/2004,1,C
1628978,https://cdn.nba.com/headshots/nba/latest/520x380/1628978.png,Donte DiVincenzo,MIN,BC,0,Villanova,208,"6'4""",29,1/31/1997,7,SG
1626171,https://cdn.nba.com/headshots/nba/latest/260x190/1626171.png,Bobby Portis,MIL,FC,9,Arkansas,261,"6'9""",30,10/02/1995,10,PF
1630583,https://cdn.nba.com/headshots/nba/latest/520x380/1630583.png,Santi Aldama,MEM,FC,7,Loyola-Maryland,224,"7'0""",24,10/01/2001,4,PF
1630590,https://cdn.nba.com/headshots/nba/latest/520x380/1630590.png,Scotty Pippen Jr.,MEM,BC,1,Vanderbilt,170,"6'1""",25,10/11/2000,3,PG
1627832,https://cdn.nba.com/headshots/nba/latest/520x380/1627832.png,Fred VanVleet,HOU,BC,5,Wichita State,193,"6'0""",31,25/02/1994,9,PG
1641764,https://cdn.nba.com/headshots/nba/latest/260x190/1641764.png,Brandin Podziemski,GSW,BC,2,Santa Clara,205,"6'4""",23,2/25/2003,2,SG
1630191,https://cdn.nba.com/headshots/nba/latest/520x380/1630191.png,Isaiah Stewart,DET,FC,28,Washington,250,"6'9""",24,5/22/2001,5,PF
1629661,https://cdn.nba.com/headshots/nba/latest/260x190/1629661.png,Cameron Johnson,DEN,FC,23,North Carolina,210,"6'8""",30,03/03/1996,6,PF
1629631,https://cdn.nba.com/headshots/nba/latest/260x190/1629631.png,De'Andre Hunter,SAC,BC,12,Virginia,221,"6'8""",29,02/12/1997,6,SF
1630245,https://cdn.nba.com/headshots/nba/latest/260x190/1630245.png,Ayo Dosunmu,MIN,BC,11,Illinois,200,"6'5""",26,1/17/2000,4,PG
1641731,https://cdn.nba.com/headshots/nba/latest/520x380/1641731.png,Bilal Coulibaly,WAS,FC,0,None,203,"6'8""",21,7/26/2004,2,SG
1642267,https://cdn.nba.com/headshots/nba/latest/260x190/1642267.png,Bub Carrington,WAS,BC,7,Pittsburgh,196,"6'4""",20,7/21/2005,1,PG
201950,https://cdn.nba.com/headshots/nba/latest/520x380/201950.png,Jrue Holiday,POR,BC,5,UCLA,220,"6'4""",35,12/06/1990,16,PG
